year,ward,dept,program,category,location,desc,blocks,unit_count,est_cost
2012,5,CDOT: DEO,Street Light Residential Staggered Piggy Back Menu,Lighting,ON ELLIS FROM E 71 ST (7100 S) TO E 73 ST (7300 S),,,,"$144,000.00"
2012,5,CDOT: DEO,Street Light Residential Staggered Piggy Back Menu,Lighting,ON DORCHESTER FROM E 67 ST (6700 S) TO E 71 ST (7100 S),,,,"$288,000.00"
2012,5,CDOT: DEO,Street Light Residential Staggered Piggy Back Menu,Lighting,ON EAST END FROM E 69 ST (6900 S) TO E 71 ST (7100 S),,,,"$144,000.00"
2012,5,CDOT: DEO,Street Light Upgrade Menu,Lighting,"ON 60 FROM S BLACKSTONE AV (1436 E) TO S STONY ISLAND AV (1600 E) $1,319,999.00 $1.00",,,,"$2,000.00"
2012,6,CDOT: COMM,Miscellaneous Other Projects,Streets/CDOT,E 83RD ST & S DR MARTIN LUTHER KING JR DR,crosswalk markings,,,"$1,166.00"
2012,6,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON E 85TH ST FROM S STATE ST (0 E) TO S WABASH AV (44 E),,,1.00,"$38,833.00"
2012,6,CDOT: DEO,Street Light Residential Staggered Piggy Back Menu,Lighting,ON 66 FROM S UNION AV (700 W) TO S HALSTED ST (800 W),,,,"$64,000.00"
2012,6,CDOT: DEO,Street Light Residential Staggered Piggy Back Menu,Lighting,ON UNION FROM W 66 ST (6600 S) TO W MARQUETTE RD (6700 S),,,,"$64,000.00"
2012,6,CDOT: DEO,Street Light Residential Staggered Piggy Back Menu,Lighting,"ON ST LAWRENCE FROM E 71 ST (7100 S) TO E 87 ST (8700 S) $1,319,999.00 $1.00",,,,"$1,152,000.0"
2012,7,CDOT: COMM,Curb & Gutter Menu,Streets/CDOT,ON S CHAPPEL AVE FROM E 97 ST (9700 S) TO E 98 ST (9800 S),,,0.00,"$100,076.00"
2012,7,CDOT: COMM,Curb & Gutter Menu,Streets/CDOT,ON S PAXTON AVE FROM E 90 ST (9000 S) TO E 89 ST (8900 S),,,0.00,"$150,638.00"
2012,7,CDOT: COMM,Curb & Gutter Menu,Streets/CDOT,ON E 74TH ST FROM S OGLESBY AV (2332 E) TO S OGLESBY AV (2332 E),,,0.00,"$3,657.00"
2012,7,CDOT: COMM,Curb & Gutter Menu,Streets/CDOT,ON CRANDON FROM E 96 ST (9540 S) TO E 97 ST (9713 S),,,0.00,"$68,566.00"
