ward,type,location,year,est_cost,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,id,ward_locate,precinct_locate,ward_precinct_locate,geometry,total_length_2003,intersect_length_2003
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,10,1,10001,"c(-87.5473381636373, -87.5483851299979, 41.7240459726873, 41.7255875422997)",22242.889582830292,192.1787227041485
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,7,13,07013,"c(-87.567374285201, -87.5710479484693, 41.753532987804, 41.7589361769439)",22242.889582830292,673.6696149636196
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,7,19,07019,"c(-87.5637000879235, -87.5661479382839, 41.7481279861586, 41.751729059772)",22242.889582830292,448.9705075562009
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,7,49,07049,"c(-87.5661479382839, -87.567374285201, 41.751729059772, 41.753532987804)",22242.889582830292,224.91049641590837
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,4,43,04043,"c(-87.5956363841298, -87.5965747787794, 41.795074190452, 41.796452453465)",22242.889582830292,171.8690996815087
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,4,23,04023,"c(-87.6005716600119, -87.6015888193533, 41.8023221057731, 41.8038156696186)",22242.889582830292,186.25255997492826
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,2,44,02044,"c(-87.6183542178992, -87.6201617961927, 41.8284221162033, 41.8310738104149)",22242.889582830292,330.71093063415225
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,4,41,04041,"c(-87.5965747787794, -87.5976127316523, 41.796452453465, 41.797976864242)",22242.889582830292,190.09480340289662
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,25,18,25018,"c(-87.6347946300924, -87.6350329812607, 41.8525308617958, 41.8528802367473)",22242.889582830292,43.576976151265484
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,4,46,04046,"c(-87.6015888193533, -87.6018000057792, 41.8038156696186, 41.8041257590751)",22242.889582830292,38.66936441140081
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,4,21,04021,"c(-87.5995979276776, -87.6005716600119, 41.800892235098, 41.8023221057731)",22242.889582830292,178.30875377337784
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,4,26,04026,"c(-87.6038459372466, -87.6067225473293, 41.8071296677363, 41.8113526701912)",22242.889582830292,526.6360405956611
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,4,40,04040,"c(-87.6018000057792, -87.6038459372466, 41.8041257590751, 41.8071296677363)",22242.889582830292,374.6016206312303
