ward,type,location,year,est_cost,id,address,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
44,Sidewalk Menu,1036 W WAVELAND AVE,2019,40783.53,38795,1036 W WAVELAND AVE,census,"c(-87.655897426, 41.9490244580001)",44031,31,3245906.75837,9136.56507993,44
43,Miscellaneous CDOT Projects,1039 W ALTGELD ST,2018,616.190476190476,37944,1039 W ALTGELD ST,census,"c(-87.65464745, 41.9271724440001)",43031,31,1374577.51107,6679.88112927,43
46,Sidewalk Menu,1039 W LAWRENCE AVE,2017,3164.77,40124,1039 W LAWRENCE AVE,google,"c(-87.6566159, 41.9689253)",46004,4,982810.612921,5430.56571388,46
42,Sidewalk Menu,1040 N LAKE SHORE DR,2017,1599.17,36912,1040 N LAKE SHORE DR,census,"c(-87.624293189, 41.9016894490001)",42001,1,417536.181598,3126.82422161,42
29,Curb & Gutter Menu,1040 S MONITOR AVE,2021,5349.11,25466,1040 S MONITOR AVE,google,"c(-87.7708466, 41.8679526)",29034,34,3729630.86083,7793.7739931,29
48,Alley Apron Menu,1040 W AINSLIE ST,2017,5834.9,41871,1040 W AINSLIE ST,google,"c(-87.6564544, 41.9715579)",48035,35,837913.547712,3924.47694315,48
44,Street Light Upgrade Menu,1040 W NEWPORT AVE,2017,500,38730,1040 W NEWPORT AVE,census,"c(-87.655941447, 41.944461023)",44038,38,1741165.82739,5567.10042446,44
44,Miscellaneous CDOT Projects,1040 W NEWPORT AVE,2019,582.5,38786,1040 W NEWPORT AVE,census,"c(-87.655941447, 41.944461023)",44038,38,1741165.82739,5567.10042446,44
11,Sidewalk Menu,1041 W 31ST PL,2022,5710.91,9340,1041 W 31ST PL,google,"c(-87.6527585, 41.8368695)",11005,5,2690932.22331,7056.5975747,11
10,Sidewalk Menu,10414 S EWING AVE,2019,22300,8326,10414 S EWING AVE,census,"c(-87.5352920399999, 41.7060300740001)",10030,30,2303295.85982,6275.52802981,10
48,Alley Apron Menu,1042 W GLENLAKE AVE,2017,8771.51,41883,1042 W GLENLAKE AVE,census,"c(-87.65789491, 41.992329989)",48032,32,929843.363235,3905.07862312,48
43,Alley Apron Menu,1042 W MONTANA ST,2019,10338.69,37968,1042 W MONTANA ST,census,"c(-87.6548096929999, 41.926332345)",43031,31,1374577.51107,6679.88112927,43
44,Street Light Upgrade Menu,1042 W NEWPORT AVE,2017,500,38730,1042 W NEWPORT AVE,google,"c(-87.6558889, 41.9446662)",44038,38,1741165.82739,5567.10042446,44
19,Street Light Upgrade,10420 S LEAVITT ST,2012,350,16561,10420 S LEAVITT ST,census,"c(-87.6767203369999, 41.704165102)",19035,35,2631938.23822,6627.56461667,19
9,Sidewalk Menu,10425 S FOREST AVE,2021,5846.26,7289,10425 S FOREST AVE,census,"c(-87.616132583, 41.704926119)",09040,40,1992321.84976,5989.76130138,9
7,Alley Resurfacing Menu,10426 S OGLESBY AVE,2019,9170.1,5641,10426 S OGLESBY AVE,census,"c(-87.565694647, 41.7060555850001)",07045,45,6053464.45696,13443.3013521,7
19,POD Camera,10431 W Longwood,2007,12000,16379,10431 W Longwood,google,"c(-87.6702879, 41.7033598)",19036,36,2878134.51077,7513.64928096,19
10,Sidewalk Menu,10436 S AVENUE J,2021,4821.48,8422,10436 S AVENUE J,census,"c(-87.534086074, 41.705669389)",10029,29,3720032.47776,9200.77985718,10
10,Sidewalk Menu,10446 S AVENUE M,2022,1875.02,8495,10446 S AVENUE M,census,"c(-87.537710175, 41.70553219)",10030,30,2303295.85982,6275.52802981,10
10,Sidewalk Menu,10449 S AVENUE F,2016,10610.91,8186,10449 S AVENUE F,census,"c(-87.5304414289999, 41.7054692990001)",10029,29,3720032.47776,9200.77985718,10
44,Alley Apron Menu,1045 W BARRY AVE,2022,11002.56,38885,1045 W BARRY AVE,census,"c(-87.655812866, 41.938061066)",44027,27,1347715.59267,5635.7386567,44
46,Alley Apron Menu,1045 W IRVING PARK RD,2017,10532.9,40100,1045 W IRVING PARK RD,census,"c(-87.656225935, 41.9544547890001)",46005,5,1399448.65175,5023.72243528,46
34,Sidewalk Menu,10457 S EMERALD AVE,2022,7896.13,30401,10457 S EMERALD AVE,google,"c(-87.64125, 41.7034577)",34020,20,2954126.76573,9228.52194462,34
10,Sidewalk Menu,10458 S AVENUE H,2019,15405,8331,10458 S AVENUE H,census,"c(-87.532873567, 41.7053339060001)",10029,29,3720032.47776,9200.77985718,10
9,Sidewalk Menu,10458 S CALUMET AVE,2020,8545.405,7255,10458 S CALUMET AVE,google,"c(-87.6151985, 41.7037809)",09040,40,1992321.84976,5989.76130138,9
43,Miscellaneous CDOT Projects,1046 W MONTANA ST,2018,616.190476190476,37944,1046 W MONTANA ST,census,"c(-87.6548514259999, 41.9263316520001)",43031,31,1374577.51107,6679.88112927,43
48,Sidewalk Menu,1049 W BRYN MAWR AVE,2022,4316.01,42234,1049 W BRYN MAWR AVE,census,"c(-87.656779437, 41.983675738)",48003,3,752059.722483,4539.37672074,48
4,Sidewalk Menu,1050 E 49TH ST,2016,5525.57,3621,1050 E 49TH ST,census,"c(-87.6003922089999, 41.805970184)",04024,24,2289762.88693,6964.10137429,4
27,Street Resurfacing Menu,1050 N CENTRAL PARK AVE,2016,6213.85,23765,1050 N CENTRAL PARK AVE,census,"c(-87.7164715119999, 41.9000536)",27029,29,1495510.70467,5452.78579357,27
27,Street Speed Hump Menu,1050 N CENTRAL PARK AVE,2017,3700,23823,1050 N CENTRAL PARK AVE,census,"c(-87.7164715119999, 41.9000536)",27029,29,1495510.70467,5452.78579357,27
49,Chicago Park District,1050 W ALBION AVE,2014,75000,42639,1050 W ALBION AVE,census,"c(-87.658394261, 42.0025940800001)",49007,7,2837971.05904,8078.93453544,49
49,Sidewalk Menu,1050 W COLUMBIA AVE,2018,7981.58,42873,1050 W COLUMBIA AVE,census,"c(-87.6581048479999, 42.00466248)",49009,9,1529436.49412,6445.75566869,49
