ward,type,location,year,est_cost,id,school_park_name,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
46,Schools,Uplift Community High School,2009,5000,39884,Uplift Community High School,google,"c(-87.6522014, 41.9659998)",46022,22,443998.327294,3288.17343478,46
46,Schools,Uplift High School -2 nd bricolage project,2009,228,39885,Uplift High School,google,"c(-87.6522014, 41.9659998)",46022,22,443998.327294,3288.17343478,46
46,Schools,Uplift High School - 2 nd bricolage project,2010,10850,39894,Uplift High School,google,"c(-87.6522014, 41.9659998)",46022,22,443998.327294,3288.17343478,46
23,Chicago Park District,Construction of Valley Forge Field House,2009,300000,19555,Valley Forge Park,google,"c(-87.7978232, 41.7842235)",23001,1,3668070.00557,12278.1795703,23
23,Chicago Park District,Valley Forge Park,2010,220000,19685,Valley Forge Park,google,"c(-87.7978232, 41.7842235)",23001,1,3668070.00557,12278.1795703,23
23,Chicago Park District,Valley Forge Field House (2009-2012 ),2011,300000,19708,Valley Forge Park,google,"c(-87.7978232, 41.7842235)",23001,1,3668070.00557,12278.1795703,23
23,Chicago Park District,Valley Forge Park,2012,100000,19810,Valley Forge Park,google,"c(-87.7978232, 41.7842235)",23001,1,3668070.00557,12278.1795703,23
23,Chicago Park District,Valley Forge Park,2013,200000,19862,Valley Forge Park,google,"c(-87.7978232, 41.7842235)",23001,1,3668070.00557,12278.1795703,23
42,Miscellaneous-CDOT,Washington Square Park,2006,49500,36308,Washington Square Park,google,"c(-87.6305847, 41.8992726)",02043,43,922812.704791,4984.95498302,2
44,Chicago Park District,Weisman Park - 901 w. Oakdale,2009,25000,38242,Weisman Park,google,"c(-87.6517822, 41.9351638)",44029,29,1313419.80394,4627.20755106,44
47,Chicago Park District,Welles Park,2005,13057,40374,Welles Park,google,"c(-87.6863017, 41.962396)",47014,14,2393594.60595,6798.28841665,47
47,Chicago Park District,Welles Park Playground,2006,50000,40410,Welles Park,google,"c(-87.6863017, 41.962396)",47014,14,2393594.60595,6798.28841665,47
47,Chicago Park District,Welles Park,2006,1687,40412,Welles Park,google,"c(-87.6863017, 41.962396)",47014,14,2393594.60595,6798.28841665,47
47,Chicago Park District,Welles Park,2007,5586,40482,Welles Park,google,"c(-87.6863017, 41.962396)",47014,14,2393594.60595,6798.28841665,47
47,Chicago Park District,Welles Park,2008,79670,40555,Welles Park,google,"c(-87.6863017, 41.962396)",47014,14,2393594.60595,6798.28841665,47
13,Wentworth Park - Athletic Field Lighting - 2017 and 2018 Menu,Wentworth Park,2018,75000,11237,Wentworth Park,google,"c(-87.7803931, 41.7881316)",13022,22,2349846.96343,6691.76980927,13
23,Chicago Park District,Wentworth Park,2007,200000,19392,Wentworth Park,google,"c(-87.7803931, 41.7881316)",13022,22,2349846.96343,6691.76980927,13
13,Chicago Park District,West Lawn Park,2005,5000,10418,West Lawn Park,google,"c(-87.7288495, 41.7744601)",13039,39,2204591.98445,6626.06839975,13
13,Chicago Park District,West Lawn Park - artificial turf field,2013,300000,10828,West Lawn Park,google,"c(-87.7288495, 41.7744601)",13039,39,2204591.98445,6626.06839975,13
1,Chicago Park District,Wicker Park,2007,2000,224,Wicker Park,google,"c(-87.6775672, 41.9104892)",02025,25,1691003.93609,8532.28812969,2
1,POD Camera,Wicker Park Fieldhouse,2011,22500,445,Wicker Park,google,"c(-87.6775672, 41.9104892)",02025,25,1691003.93609,8532.28812969,2
43,Chicago Park District,Wiggly Field - (Park #425 ) - Schubert and Sheffield,2012,10000,37605,Wiggly Field,google,"c(-87.653434, 41.9305329)",43006,6,1091258.8058,4624.23371373,43
41,Chicago Park District,Wildwood Park,2008,50000,35717,Wildwood Park,google,"c(-87.7803301, 42.0076111)",41039,39,4168229.26859,9233.02304592,41
47,Chicago Park District,Winnemac Park playground,2006,77000,40411,Winnemac Park,google,"c(-87.6819813, 41.9741228)",40013,13,2712408.4586900002,7752.89167323,40
46,Chicago Park District,Winthrop Garden,2006,50000,39795,Winthrop Garden,google,"c(-87.6587879, 42.0018328)",49007,7,2837971.05904,8078.93453544,49
