ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat,long
39,Pole Painting,N DRAKE AV-- W LAWRENCE AV (4800 N) -to- Dead End (5007 N),2008,3000,34134,N DRAKE AV AND W LAWRENCE AV,N DRAKE AV AND Dead End,41.9683694,-87.7170307,google,NA,NA,google,41.9683694,-87.7170307
39,Street Resurface Menu,N DRAKE AV-- Dead End (5032 N) -to- W FOSTER AV (5200 N),2009,72809,34187,N DRAKE AV AND Dead End,N DRAKE AV AND W FOSTER AV,NA,NA,google,41.9756614,-87.7172422,google,41.9756614,-87.7172422
39,Curb/Gutter Menu,N ELSTON AV-- N MONTICELLO AV (4050 N) -to- N MONTICELLO AV (4050 N),2008,5022,34092,N ELSTON AV AND N MONTICELLO AV,N ELSTON AV AND N MONTICELLO AV,41.9536109,-87.7190221,google,41.9536109,-87.7190221,google,41.9536109,-87.7190221
45,Street Resurface Menu,N FOREST GLEN AV-- N CICERO AV (5826 N) -to- N CICERO AV (5826 N),2009,91641,39129,N FOREST GLEN AV AND N CICERO AV,N FOREST GLEN AV AND N CICERO AV,41.98559313900006,-87.74830656699999,census,41.98559313900006,-87.74830656699999,census,41.98559313900006,-87.74830656699999
39,Sidewalk Menu,N FOREST GLEN AV-- N SAUGANASH AV (6175 N) -to- N SAUGANASH AV (6175 N),2009,4631,34180,N FOREST GLEN AV AND N SAUGANASH AV,N FOREST GLEN AV AND N SAUGANASH AV,41.99330730300005,-87.73972812799997,census,41.99330730300005,-87.73972812799997,census,41.99330730300005,-87.73972812799997
46,Street Resurface Menu,N GLENWOOD AV-- Dead End (4966 N) -to- W CARMEN AV (5100 N),2009,67002,39854,N GLENWOOD AV AND Dead End,N GLENWOOD AV AND W CARMEN AV,NA,NA,google,41.9745372,-87.6647001,google,41.9745372,-87.6647001
49,Street Resurface Menu,N GREENVIEW AV-- W MORSE AV (6920 N) -to- W MORSE AV (6920 N),2009,325051,42413,N GREENVIEW AV AND W MORSE AV,N GREENVIEW AV AND W MORSE AV,42.0078763,-87.6678639,google,42.0078763,-87.6678639,google,42.0078763,-87.6678639
27,Street Resurface Menu,N HALSTED ST-- W EVERGREEN AV (1366 N) -to- W EVERGREEN AV (1366 N),2010,744,23481,N HALSTED ST AND W EVERGREEN AV,N HALSTED ST AND W EVERGREEN AV,41.9063688,-87.6481661,google,41.9063688,-87.6481661,google,41.9063688,-87.6481661
39,Street Resurface Menu,N HAMLIN AV-- W ARGYLE ST (5000 N) -to- Dead End (5111 N),2006,28639,34024,N HAMLIN AV AND W ARGYLE ST,N HAMLIN AV AND Dead End,41.9719379,-87.7232219,google,NA,NA,google,41.9719379,-87.7232219
31,Street Resurface Menu,N HARDING AV-- Dead End (1853 N) -to- W BELMONT AV (3200 N),2009,35815,27068,N HARDING AV AND Dead End,N HARDING AV AND W BELMONT AV,NA,NA,google,41.9391123,-87.7259572,google,41.9391123,-87.7259572
30,Street Resurface Menu,N HARDING AV-- Dead End (1853 N) -to- W CORTLAND ST (1900 N),2006,24286,25707,N HARDING AV AND Dead End,N HARDING AV AND W CORTLAND ST,NA,NA,google,41.9153581,-87.7252679,google,41.9153581,-87.7252679
27,Curb/Gutter Menu,N HARDING AV-- Dead End (452 N) -to- W FERDINAND ST (500 N),2007,40360,23330,N HARDING AV AND Dead End,N HARDING AV AND W FERDINAND ST,NA,NA,google,41.889875602000075,-87.72470178899994,census,41.889875602000075,-87.72470178899994
44,Street Lighting,N HUDSON AV-- Dead End (3169 N) -to- W BELMONT AV (3200 N),2007,28333,38166,N HUDSON AV AND Dead End,N HUDSON AV AND W BELMONT AV,NA,NA,google,41.9400879,-87.6409034,google,41.9400879,-87.6409034
50,Curb/Gutter Menu,N KEDZIE AV-- W DEVON AV (6400 N) -to- W DEVON AV (6400 N),2008,23000,43124,N KEDZIE AV AND W DEVON AV,N KEDZIE AV AND W DEVON AV,41.9973841,-87.7093355,google,41.9973841,-87.7093355,google,41.9973841,-87.7093355
48,Street Bump Outs Menu,N KENMORE AV-- W GRANVILLE AV (6200 N) -to- W GRANVILLE AV (6200 N),2010,98784,41636,N KENMORE AV AND W GRANVILLE AV,N KENMORE AV AND W GRANVILLE AV,41.99459366700006,-87.65695060699994,census,41.99459366700006,-87.65695060699994,census,41.99459366700006,-87.65695060699994
