ward,type,location,year,est_cost,id,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_locate,precinct_locate,ward_precinct_locate
2,Sidewalk Menu,W WARREN BLVD & N POLLOCK ST (2605 W) & N POLLOCK ST (2605 W),2011,18486,1912,2605 W WARREN BLVD,2605 W WARREN BLVD,41.881782,-87.6914,google,41.881782,-87.6914,google,"c(-87.6914, 41.881782)",2,48,02048
35,Street Resurface Menu(1-5),N AVONDALE AVE & W LOGAN(2557 N) & N TALMAN AV (2627 N),2011,56470,30801,2557 N AVONDALE AVE,2627 N AVONDALE AVE,41.9264221,-87.6876231,google,41.9264221,-87.6876231,google,"c(-87.6876231, 41.9264221)",1,24,01024
1,Street Resurface Menu,W ATTRILL ST & N MILWAUKEE AV (2675 W) & N STAVE ST (2712 W),2011,28464,428,2675 W ATTRILL ST,2712 W ATTRILL ST,41.9197978,-87.6949781,google,41.9197978,-87.6949781,google,"c(-87.6949781, 41.9197978)",1,13,01013
11,Curb/Gutter Menu,S HILLOCK AVE & S BONFIELD ST (2750 S) & S BONFIELD ST (2750 S),2011,25596,8783,2750 S HILLOCK AVE,2750 S HILLOCK AVE,41.8442314,-87.6594886,google,41.8442314,-87.6594886,google,"c(-87.6594886, 41.8442314)",11,1,11001
33,Sidewalk Menu,W SUNNYSIDE AVE & N RICHMOND ST (2932 W) & N RICHMOND ST (2932 W),2011,39066,28941,2932 W SUNNYSIDE AVE,2932 W SUNNYSIDE AVE,41.9632068,-87.7023397,google,41.9632068,-87.7023397,google,"c(-87.7023397, 41.9632068)",33,24,33024
43,Sidewalk Menu,W SCHILLER ST & N NORTH PARK AV (310 W) & N NORTH PARK AV (310 W),2011,8663,37485,310 W SCHILLER ST,310 W SCHILLER ST,41.9077309,-87.6367972,google,41.9077309,-87.6367972,google,"c(-87.6367972, 41.9077309)",27,42,27042
33,Sidewalk Menu,W SUNNYSIDE AVE & N ALBANY AV (3100 W) & N ALBANY AV (3100 W),2011,11138,28943,3100 W SUNNYSIDE AVE,3100 W SUNNYSIDE AVE,41.96303,-87.7058504,google,41.96303,-87.7058504,google,"c(-87.7058504, 41.96303)",33,8,33008
33,Curb/Gutter Menu,W WAVELAND AVE & N TROY ST (3132 W) & N TROY ST (3132 W),2011,8558,28936,3132 W WAVELAND AVE,3132 W WAVELAND AVE,41.9485875,-87.7066826,google,41.9485875,-87.7066826,google,"c(-87.7066826, 41.9485875)",33,12,33012
32,Curb/Gutter Menu,N LEAVITT ST & W BELMONT AV (3200 N) & W BELMONT AV (3200 N),2011,2206,28169,3200 N LEAVITT ST,3200 N LEAVITT ST,41.939533,-87.6832068,google,41.939533,-87.6832068,google,"c(-87.6832068, 41.939533)",32,19,32019
44,Curb/Gutter Menu,N SHEFFIELD AVE & W BELMONT AV (3200 N) & W BELMONT AV (3200 N),2011,4497,38310,3200 N SHEFFIELD AVE,3200 N SHEFFIELD AVE,41.94011,-87.654299,google,41.94011,-87.654299,google,"c(-87.654299, 41.94011)",44,39,44039
