ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate,year,weighted_cost
23019,19,2550248.36061,6665.35620403,23,2021,0
23019,19,2550248.36061,6665.35620403,23,2022,0
23020,20,2439335.80731,6350.34916201,23,2003,0
23020,20,2439335.80731,6350.34916201,23,2004,0
23020,20,2439335.80731,6350.34916201,23,2005,0
23020,20,2439335.80731,6350.34916201,23,2006,0
23020,20,2439335.80731,6350.34916201,23,2007,0
23020,20,2439335.80731,6350.34916201,23,2008,0
23020,20,2439335.80731,6350.34916201,23,2009,0
23020,20,2439335.80731,6350.34916201,23,2010,0
23020,20,2439335.80731,6350.34916201,23,2011,0
23020,20,2439335.80731,6350.34916201,23,2012,0
23020,20,2439335.80731,6350.34916201,23,2013,0
23020,20,2439335.80731,6350.34916201,23,2014,0
23020,20,2439335.80731,6350.34916201,23,2015,3701.6995389117137
23020,20,2439335.80731,6350.34916201,23,2016,24433.791449384036
23020,20,2439335.80731,6350.34916201,23,2017,37989.223772501035
23020,20,2439335.80731,6350.34916201,23,2018,0
23020,20,2439335.80731,6350.34916201,23,2019,42080.08642492581
23020,20,2439335.80731,6350.34916201,23,2020,541.7920391684899
23020,20,2439335.80731,6350.34916201,23,2021,0
23020,20,2439335.80731,6350.34916201,23,2022,57878.07643161404
23021,21,2289979.60108,7035.12571686,23,2003,0
23021,21,2289979.60108,7035.12571686,23,2004,0
23021,21,2289979.60108,7035.12571686,23,2005,0
23021,21,2289979.60108,7035.12571686,23,2006,9412.921246747681
23021,21,2289979.60108,7035.12571686,23,2007,74361.01834053821
23021,21,2289979.60108,7035.12571686,23,2008,20461.963494182066
23021,21,2289979.60108,7035.12571686,23,2009,18703.295861110873
23021,21,2289979.60108,7035.12571686,23,2010,64196.414588676635
23021,21,2289979.60108,7035.12571686,23,2011,0
23021,21,2289979.60108,7035.12571686,23,2012,1330.6673494439663
23021,21,2289979.60108,7035.12571686,23,2013,4.312184511688005
23021,21,2289979.60108,7035.12571686,23,2014,119771.02391428355
23021,21,2289979.60108,7035.12571686,23,2015,113097.18110237064
23021,21,2289979.60108,7035.12571686,23,2016,56539.49139805356
23021,21,2289979.60108,7035.12571686,23,2017,30242.800878349306
23021,21,2289979.60108,7035.12571686,23,2018,40866.30229794078
23021,21,2289979.60108,7035.12571686,23,2019,219035.721637176
23021,21,2289979.60108,7035.12571686,23,2020,200391.96401045576
23021,21,2289979.60108,7035.12571686,23,2021,17848.61
23021,21,2289979.60108,7035.12571686,23,2022,32407.05314009935
23022,22,3470666.11696,9680.91878502,23,2003,0
23022,22,3470666.11696,9680.91878502,23,2004,0
23022,22,3470666.11696,9680.91878502,23,2005,0
23022,22,3470666.11696,9680.91878502,23,2006,20577.984151714623
23022,22,3470666.11696,9680.91878502,23,2007,66419.75122917988
23022,22,3470666.11696,9680.91878502,23,2008,39440.86130556606
23022,22,3470666.11696,9680.91878502,23,2009,42592.918174000675
23022,22,3470666.11696,9680.91878502,23,2010,86574.66528914135
23022,22,3470666.11696,9680.91878502,23,2011,0
23022,22,3470666.11696,9680.91878502,23,2012,10967.796475679597
23022,22,3470666.11696,9680.91878502,23,2013,9490.690716939958
23022,22,3470666.11696,9680.91878502,23,2014,26995.620450756527
23022,22,3470666.11696,9680.91878502,23,2015,14760.249672773096
23022,22,3470666.11696,9680.91878502,23,2016,77878.94
