ward,year,off_menu,on_menu,beauty,not_beauty
3,2008,161555,1278442,NA,1439997
3,2009,20600,1299400,NA,1320000
3,2010,286700,1033299,NA,1319999
3,2011,800,1225903,NA,1226703
3,2012,30629,1285830,NA,1316459
3,2013,34963,1285036,34000,1285999
3,2014,10000,1309488,NA,1319488
3,2015,4600,1315400,NA,1320000
3,2016,146212.72,1173786.85,NA,1319999.57
3,2017,97215.09,1222784.9,37011,1282988.99
3,2018,68526.14,1250961.06,20431.68,1299055.52
3,2019,187724.84,1132275.15,NA,1319999.99
3,2020,1705,862171.15,NA,863876.15
3,2021,6336.13,1493663.86,NA,1499999.99
3,2022,1705,862171.15,NA,863876.15
30,2005,26032,1166813,NA,1192845
30,2006,571283,747054,NA,1318337
30,2007,21750,1298012,NA,1319762
30,2008,180300,1139699,NA,1319999
30,2009,0,1319989,NA,1319989
30,2010,29567,1290432,NA,1319999
30,2011,493989,826010,NA,1319999
30,2012,1414,1318484,5000,1314898
30,2013,26100,1289899,15000,1300999
30,2014,270,1319344,NA,1319614
30,2015,350,1319648,NA,1319998
30,2016,90000,1229999.99,NA,1319999.99
30,2017,10000,1309999.99,10000,1309999.99
30,2018,45000,1274999.99,45000,1274999.99
30,2019,2300,1317699.99,NA,1319999.99
30,2020,0,913768.41,NA,913768.41
30,2021,0,1499999.99,NA,1499999.99
30,2022,0,913768.41,NA,913768.41
31,2005,149200,1050296,NA,1199496
31,2006,327828,991748,NA,1319576
31,2007,0,1319042,NA,1319042
31,2008,369,1319632,NA,1320001
31,2009,0,1320001,NA,1320001
31,2010,431,1319572,NA,1320003
31,2011,0,1205099,NA,1205099
31,2012,0,1319998,NA,1319998
31,2013,15053,1304898,NA,1319951
31,2014,1900,1316660,NA,1318560
31,2015,3000,1317001,NA,1320001
31,2016,100000,1219999.21,100000,1219999.21
31,2017,110000,1209999.99,110000,1209999.99
31,2018,13505.5,1306273.97,NA,1319779.47
31,2019,500,1319499.99,NA,1319999.99
31,2020,0,1176239.54,NA,1176239.54
31,2021,0,1499999.99,NA,1499999.99
31,2022,0,1176239.54,NA,1176239.54
32,2005,864367,335633,650000,550000
32,2006,396719,823280,145000,1074999
32,2007,825000,494864,545000,774864
32,2008,20445,1299552,NA,1319997
32,2009,94245,1225754,NA,1319999
32,2010,80394,1239586,NA,1319980
32,2011,25561,1294438,NA,1319999
32,2012,2310,1317184,NA,1319494
32,2013,0,1319997,NA,1319997
32,2014,155650,1158449,150000,1164099
32,2015,154401,1165598,150000,1169999
32,2016,68799,1243955.99,NA,1312754.99
32,2017,10000,1309999.99,40000,1279999.99
32,2018,0,1290568.66,28438.55,1262130.11
32,2019,504540.5,815459.49,175000,1144999.99
32,2020,0,772897.11,NA,772897.11
32,2021,150,1499849.99,90822.96,1409177.03
32,2022,0,772897.11,NA,772897.11
33,2005,486090,711616,150000,1047706
33,2006,207895,1112104,556,1319443
33,2007,20000,1295981,20000,1295981
33,2008,81298,1358702,62255,1377745
33,2009,32,1319966,NA,1319998
33,2010,73538,1246463,25000,1295001
33,2011,39,1319513,NA,1319552
33,2012,1460,1318453,3000,1316913
33,2013,124371,1195628,NA,1319999
33,2014,36314,1283685,13404,1306595
33,2015,107700,1212303,25000,1295003
33,2016,158521.9,1154233.09,73500,1239254.99
33,2017,106292.23,1213707.76,69802.23000000001,1250197.76
33,2018,3500,1294764.99,NA,1298264.99
33,2019,25000,801740.16,25000,801740.16
33,2020,100000,0,100000,NA
33,2021,125000,1374999.99,102119.28,1397880.71
33,2022,100000,0,100000,NA
34,2005,2700,1197290,NA,1199990
34,2006,6450,1313552,NA,1320002
34,2007,0,1319999,NA,1319999
34,2008,800,1319198,NA,1319998
34,2009,0,1320000,NA,1320000
34,2010,81478,1238524,NA,1320002
34,2011,7300,1312700,NA,1320000
34,2012,54970,1264994,3500,1316464
34,2013,0,1319998,NA,1319998
34,2014,550,1318121,NA,1318671
34,2015,150000,1170001,NA,1320001
34,2016,0,1319999.99,NA,1319999.99
34,2017,0,1319999.99,NA,1319999.99
34,2018,7013.54,1312986.45,NA,1319999.99
34,2019,1500,1318499.99,NA,1319999.99
34,2020,0,1290270.38,NA,1290270.3800000001
34,2021,660,1499339.99,NA,1499999.99
34,2022,0,1290270.38,NA,1290270.3800000001
35,2005,43657,1267984,NA,1311641
35,2006,427962,1010214,NA,1438176
35,2007,100000,1219979,NA,1319979
35,2008,473223,846777,75561,1244439
35,2009,32,1319967,NA,1319999
35,2010,137944,1182057,NA,1320001
35,2011,19125,1300873,NA,1319998
35,2012,3700,1316051,NA,1319751
35,2013,297000,1023000,NA,1320000
35,2014,38942,1277251,NA,1316193
35,2015,2750,1316425,NA,1319175
35,2016,302500,1017499.99,124000,1195999.99
35,2017,10000,1309999.99,10000,1309999.99
35,2018,13311.43,1306688.56,NA,1319999.99
35,2019,17775.6,1302224.39,24776,1295223.99
35,2020,28514.6,1036177.11,NA,1064691.71
35,2021,281724,1218275.99,280000,1219999.99
35,2022,28514.6,1036177.11,NA,1064691.71
36,2005,0,1199415,NA,1199415
36,2006,22064,1417029,NA,1439093
36,2007,502300,935923,NA,1438223
36,2008,107600,1332399,100000,1339999
36,2009,1400,1318561,NA,1319961
36,2010,3009,1316989,NA,1319998
36,2011,59422,1260577,59422,1260577
36,2012,85826,1234174,85301,1234699
36,2013,313127,1006875,310277,1009725
36,2014,950,1319049,NA,1319999
36,2015,61099,1258899,NA,1319998
36,2016,75000,1244999.99,85000,1234999.99
36,2017,454050,865949.99,416700,903299.99
36,2018,68505.5,1251494.49,NA,1319999.99
36,2019,129000,1178389.45,NA,1307389.45
36,2020,146186.46,678375.14,110000,714561.6
36,2021,660,1499339.99,NA,1499999.99
36,2022,146186.46,678375.14,110000,714561.6
37,2005,750,1195732,NA,1196482
37,2006,31700,1398939,NA,1430639
37,2007,0,1439900,NA,1439900
37,2008,718,1439283,NA,1440001
37,2009,0,1320000,NA,1320000
37,2010,0,1319941,NA,1319941
37,2011,1114,1318887,NA,1320001
37,2012,0,1319883,12000,1307883
37,2013,0,1319999,NA,1319999
37,2014,0,1320000,NA,1320000
37,2015,1200,1318802,NA,1320002
37,2016,0,1319999.99,NA,1319999.99
37,2017,10000,1309999.99,10000,1309999.99
37,2018,660,1301233.3,NA,1301893.3
37,2019,6000,1262505.62,NA,1268505.6199999999
37,2020,0,955518.74,NA,955518.74
37,2021,0,1499999.99,NA,1499999.99
37,2022,0,955518.74,NA,955518.74
38,2005,0,1319616,NA,1319616
38,2006,23213,1415824,NA,1439037
38,2007,72190,1367440,NA,1439630
38,2008,0,1439999,NA,1439999
38,2009,15400,1304599,NA,1319999
38,2010,11900,1308100,NA,1320000
38,2011,0,1319962,NA,1319962
38,2012,197367,1122632,NA,1319999
38,2013,51500,1267941,NA,1319441
38,2014,0,1319997,NA,1319997
38,2015,23699,1296302,NA,1320001
38,2016,0,1319999.99,NA,1319999.99
38,2017,10000,1309999.99,10000,1309999.99
38,2018,0,1319999.99,NA,1319999.99
38,2019,0,1295778.51,NA,1295778.51
38,2020,0,710796.82,NA,710796.82
38,2021,1320,1498679.99,10000,1489999.99
38,2022,0,710796.82,NA,710796.82
39,2005,4800,1195198,NA,1199998
39,2006,306,1439240,NA,1439546
39,2007,22850,1186921,NA,1209771
39,2008,276853,1079146,200000,1155999
39,2009,63967,1256034,30000,1290001
39,2010,149900,1169696,50000,1269596
39,2011,175,1297551,NA,1297726
39,2012,264865,1055134,NA,1319999
39,2013,155850,1163815,3000,1316665
39,2014,29065,1288836,NA,1317901
39,2015,0,1305761,NA,1305761
39,2016,48000,1271999.99,NA,1319999.99
39,2017,65255.6,1254744.39,10000,1309999.99
39,2018,181778,1138221.99,53714.28,1266285.71
39,2019,65500,1254499.99,NA,1319999.99
39,2020,411233.32,772480.68,11233.32,1172480.68
39,2021,421374.93,1078625.06,343900,1156099.99
39,2022,411233.32,772480.68,11233.32,1172480.68
4,2005,569439,750560,69439,1250560
4,2006,590000,849882,NA,1439882
4,2007,799540,640262,318000,1121802
4,2008,325750,1114250,225000,1215000
4,2009,425500,894437,290000,1029937
4,2010,377304,941510,309020,1009794
4,2011,200000,1119946,NA,1319946
4,2012,369903,949950,150000,1169853
4,2013,550,1317616,NA,1318166
4,2014,57981,1256753,NA,1314734
4,2015,1200,1318801,NA,1320001
4,2016,1500.17,1318499.82,NA,1319999.99
4,2017,20745,1299254.99,51711,1268288.99
4,2018,300,1319699.4,27011,1292988.4
4,2019,150,1312485.43,148835.44,1163799.99
4,2020,0,830443.02,NA,830443.02
4,2021,311804.72,1188195.27,81140,1418859.99
4,2022,0,830443.02,NA,830443.02
40,2005,17375,1182624,NA,1199999
40,2006,5443,1434556,NA,1439999
40,2007,227233,1212766,200000,1239999
40,2008,200815,1119184,200000,1119999
40,2009,79,1319919,NA,1319998
40,2010,1267,1318733,NA,1320000
40,2011,226015,1093983,NA,1319998
40,2012,2612,1317387,NA,1319999
40,2013,48484,1271516,NA,1320000
40,2014,16982,1302822,NA,1319804
40,2015,23290,1296710,NA,1320000
40,2016,14142.75,1305857.18,NA,1319999.93
40,2017,10000,1309999.99,10000,1309999.99
40,2018,0,1319295.97,NA,1319295.97
40,2019,78045.2,1220489.86,71500,1227035.06
40,2020,215000,996393.05,55000,1156393.05
40,2021,175794.86,1324205.13,160000,1339999.99
40,2022,215000,996393.05,55000,1156393.05
41,2005,0,1319995,NA,1319995
41,2006,60212,1379790,NA,1440002
41,2007,600,1319402,NA,1320002
41,2008,149799,1290201,78399,1361601
41,2009,12167,1307832,NA,1319999
41,2010,70000,1250000,70000,1250000
41,2011,30911,1289089,NA,1320000
41,2012,122000,1197361,120000,1199361
41,2013,124881,1195118,NA,1319999
41,2014,4000,1315999,NA,1319999
41,2015,17544,1302457,NA,1320001
41,2016,10735.76,1309263.76,NA,1319999.52
41,2017,59000,1260999.99,47000,1272999.99
41,2018,308815,1011184.99,275000,1044999.99
41,2019,43500,1276499.99,NA,1319999.99
41,2020,20000,1175266.57,NA,1195266.57
41,2021,59704.92,1440295.07,NA,1499999.99
41,2022,20000,1175266.57,NA,1195266.57
42,2005,3985,1088337,2500,1089822
42,2006,452109,778193,NA,1230302
42,2007,282953,1156894,NA,1439847
42,2008,403005,916995,NA,1320000
42,2009,508010,811989,NA,1319999
42,2010,32353,1287648,NA,1320001
42,2011,201381,1112252,NA,1313633
42,2012,6119,1313713,NA,1319832
42,2013,251190,1068199,47000,1272389
42,2014,1300,1318473,NA,1319773
42,2015,56282,1263719,91000,1229001
42,2016,27711.96,1292288.01,430345,889654.97
42,2017,202961.23,1112038.11,69655,1245344.34
42,2018,241643.2,1028287.66,105000,1164930.86
42,2019,239647.2,1080352.79,334930.22,985069.77
42,2020,10539.2,473532.27,225000,259071.47
42,2021,95012,1404987.99,325000,1174999.99
42,2022,10539.2,473532.27,225000,259071.47
43,2005,331403,868597,NA,1200000
43,2006,476636,963365,NA,1440001
43,2007,484180,955476,NA,1439656
43,2008,367530,872470,27225,1212775
43,2009,467711,852290,NA,1320001
43,2010,460241,859759,285000,1035000
43,2011,213500,1106448,200000,1119948
43,2012,41004,1278996,10000,1310000
43,2013,80760,1236212,NA,1316972
43,2014,27120,1292878,NA,1319998
43,2015,83900,1236099,78500,1241499
43,2016,109250,1210749.99,275000,1044999.99
43,2017,40634,1279365.99,365000,954999.99
43,2018,53690,1265167.43,168442.07,1150415.36
43,2019,55620,1264379.99,51206.03,1268793.96
