"ward","type","location","year","est_cost","id","intersection_1","intersection_2"
4,"Street Lighting","S ST LAWRENCE AVE & E 43 ST (4300 S) & E 44 ST (4400 S)",2011,1750,3191,"4300 S ST LAWRENCE AVE","4400 S ST LAWRENCE AVE"
4,"Curb/Gutter Menu","S RHODES AVE & E 31 ST (3100 S) & E 33 ST (3300 S)",2011,246556,3194,"3100 S RHODES AVE","3300 S RHODES AVE"
4,"Curb/Gutter Menu","S DREXEL AVE & E 47 ST (4700 S) & E 48 ST (4800 S)",2011,18916,3195,"4700 S DREXEL AVE","4800 S DREXEL AVE"
4,"Sidewalk Menu","E 40TH ST & S ELLIS AV (923 E) & S LAKE PARK AV (994 E)",2011,10196,3197,"923 E 40TH ST","994 E 40TH ST"
4,"Sidewalk Menu","S OAKENWALD AVE & E 42 PL (4228 S) & E 43 ST (4300 S)",2011,23025,3198,"4228 S OAKENWALD AVE","4300 S OAKENWALD AVE"
4,"Sidewalk Menu","S GREENWOOD AVE & E 44 ST (4400 S) & E 45 ST (4500 S)",2011,32369,3199,"4400 S GREENWOOD AVE","4500 S GREENWOOD AVE"
4,"Sidewalk Menu","S PRAIRIE AVE & E 26 ST (2600 S) & E 29 ST (2900 S)",2011,56017,3200,"2600 S PRAIRIE AVE","2900 S PRAIRIE AVE"
4,"Sidewalk Menu","S KENWOOD AVE & E 48 ST (4800 S) & E 49 ST (4900 S)",2011,31644,3201,"4800 S KENWOOD AVE","4900 S KENWOOD AVE"
4,"Sidewalk Menu","E 54TH ST & S HARPER AV (1500 E) & S HARPER AV (1500 E)",2011,23868,3202,"1500 E 54TH ST","1500 E 54TH ST"
4,"Sidewalk Menu","S VINCENNES AVE & E 42 ST (4200 S) & E 42 PL (4232 S)",2011,4474,3203,"4200 S VINCENNES AVE","4232 S VINCENNES AVE"
4,"Sidewalk Menu","E 43RD ST & S FORRESTVILLE AV (532 E) & S ST LAWRENCE AV (600 E)",2011,16940,3204,"532 E 43RD ST","600 E 43RD ST"
