"ward","type","location","year","est_cost","id","start_location","end_location"
26,"Street Resurface Menu","W CORTLAND ST-- N LAWNDALE AV (3700 W) -to- N RIDGEWAY AV (3732 W)",2009,20147,21067,"W CORTLAND ST AND N LAWNDALE AV","W CORTLAND ST AND N RIDGEWAY AV"
26,"Street Resurface Menu","W CORTLAND ST-- N MONTICELLO AV (3632 W) -to- N LAWNDALE AV (3700 W)",2009,20562,21068,"W CORTLAND ST AND N MONTICELLO AV","W CORTLAND ST AND N LAWNDALE AV"
26,"Street Resurface Menu","W DICKENS AV-- N HAMLIN AV (3800 W) -to- N AVERS AV (3832 W)",2009,18071,21069,"W DICKENS AV AND N HAMLIN AV","W DICKENS AV AND N AVERS AV"
26,"Street Resurface Menu","W HIRSCH ST-- N LAWNDALE AV (3702 W) -to- N RIDGEWAY AV (3732 W)",2009,19695,21070,"W HIRSCH ST AND N LAWNDALE AV","W HIRSCH ST AND N RIDGEWAY AV"
26,"Street Resurface Menu","W IOWA ST-- N WASHTENAW AV (2700 W) -to- N FAIRFIELD AV (2732 W)",2009,8869,21071,"W IOWA ST AND N WASHTENAW AV","W IOWA ST AND N FAIRFIELD AV"
26,"Street Resurface Menu","W LE MOYNE ST-- N ROCKWELL ST (2600 W) -to- N TALMAN AV (2632 W)",2009,18581,21072,"W LE MOYNE ST AND N ROCKWELL ST","W LE MOYNE ST AND N TALMAN AV"
26,"Street Resurface Menu","W LE MOYNE ST-- N MAPLEWOOD AV (2532 W) -to- N ROCKWELL ST (2600 W)",2009,18934,21073,"W LE MOYNE ST AND N MAPLEWOOD AV","W LE MOYNE ST AND N ROCKWELL ST"
26,"Street Resurface Menu","W LE MOYNE ST-- N ARTESIAN AV (2432 W) -to- N CAMPBELL AV (2500 W)",2009,19362,21074,"W LE MOYNE ST AND N ARTESIAN AV","W LE MOYNE ST AND N CAMPBELL AV"
26,"Street Speed Hump Menu","N BERNARD ST-- W FULLERTON AV (2400 N) -to- W WRIGHTWOOD AV (2600 N) 2",2009,3500,21075,"N BERNARD ST AND W FULLERTON AV","N BERNARD ST AND W WRIGHTWOOD AV"
26,"Street Speed Hump Menu","N LAWNDALE AV-- W GRAND AV (1238 N) -to- W POTOMAC AV (1300 N) 1",2009,1750,21076,"N LAWNDALE AV AND W GRAND AV","N LAWNDALE AV AND W POTOMAC AV"
26,"Street Speed Hump Menu","N MONTICELLO AV-- W HIRSCH ST (1400 N) -to- W LE MOYNE ST (1500 N) 2",2009,3500,21077,"N MONTICELLO AV AND W HIRSCH ST","N MONTICELLO AV AND W LE MOYNE ST"
